Catalog Number,Product Name,Product Type,Channel,Species Name,Gene Symbol,Gene Name,Accession,Probe Pairs,Probe Region Begin,Probe Region End
200178,RNAscope® LS 2.5 Probe - UBC ,RNAscope LS 2.5 Controls-Automated,,,,,,,,
200188,RNAscope® LS 2.5 Probe - DapB,RNAscope LS 2.5 Target Probes,,,,,,,,
200208,RNAscope® LS 2.5 Probe - HPV-16,RNAscope LS 2.5 Target Probes,,,,,,,,
200238,RNAscope® LS 2.5 Probe - HPV-31,RNAscope LS 2.5 Target Probes,,,,,,,,
200388,RNAscope® LS 2.5 Probe - HPV-6,RNAscope LS 2.5 Target Probes,,,,,,,,
201208,RNAscope® LS 2.5 Probe - TTF1,RNAscope LS 2.5 Target Probes,,,,,,,,
201218,RNAscope® LS 2.5 Probe - Napsin A,RNAscope LS 2.5 Target Probes,,,,,,,,
201228,RNAscope® LS 2.5 Probe - Albumin,RNAscope LS 2.5 Target Probes,,,,,,,,
201238,RNAscope® LS 2.5 Probe - EBV,RNAscope LS 2.5 Target Probes,,,,,,,,
201248,RNAscope® LS 2.5 Probe - CMV,RNAscope LS 2.5 Target Probes,,,,,,,,
201258,RNAscope® LS 2.5 Probe - PPIB,RNAscope LS 2.5 Controls-Automated,,,,,,,,
310058,RNAscope® LS 2.5 Probe - Hs-CMET,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MET,"MET proto-oncogene, receptor tyrosine kinase",NM_001127500,20,1236,2257
310068,RNAscope® LS 2.5 Probe - Hs-EGFR,RNAscope LS 2.5 Target Probes,1,Homo sapiens,EGFR,epidermal growth factor receptor,NM_005228,20,505,1737
310078,RNAscope® LS 2.5 Probe - Hs-FGFR1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,FGFR1,fibroblast growth factor receptor 1,NM_023110,23,811,1832
310088,RNAscope® LS 2.5 Probe - Hs-ERBB2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ERBB2,erb-b2 receptor tyrosine kinase 2,NM_004448,20,1442,2571
310108,RNAscope® LS 2.5 Probe - Hs-CHRNA7,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit,NM_000746.5,21,181,1591
310118,RNAscope® LS 2.5 Probe - Hs-IGF-1R,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CSF1R,colony stimulating factor 1 receptor,NM_005211,20,325,1421
310138,RNAscope® LS 2.5 Probe - Hs-18S,RNAscope LS 2.5 Target Probes,1,Homo sapiens,RNA18S5,"RNA, 18S ribosomal 5",,,,
310158,RNAscope® LS 2.5 Probe - Hs-ALDH1A1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ALDH1A1,aldehyde dehydrogenase 1 family member A1,,,,
310168,RNAscope® LS 2.5 Probe - Hs-B2M,RNAscope LS 2.5 Target Probes,1,Homo sapiens,B2M,beta-2-microglobulin,NM_004048.2,10,21,784
310178,RNAscope® LS 2.5 Probe - Hs-CDH2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CDH2,cadherin 2,NM_001792.3,20,509,1428
310188,RNAscope® LS 2.5 Probe - Hs-CDKN2A,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CDKN2A,cyclin dependent kinase inhibitor 2A,NM_000077.4,17,95,1206
310198,RNAscope® LS 2.5 Probe - Hs-KRT14,RNAscope LS 2.5 Target Probes,1,Homo sapiens,KRT14,keratin 14,NM_000526.4,19,202,1567
310208,RNAscope® LS 2.5 Probe - Hs-CK17,RNAscope LS 2.5 Target Probes,1,Homo sapiens,KRT17,keratin 17,NM_000422,19,302,1346
